(venv) PS C:\Users\ctlab\tomoka> python training.py                                                                              
Using device: cuda
Train: 9469 images | Val: 3925 images
Loaded frozen ACNNP weights from 'baseline_acnnp_amp.pth'
  train epoch 8/20 batch 1100/1184 | loss 0.002904 | elapsed 3.7 min
  train epoch 8/20 batch 1150/1184 | loss 0.002905 | elapsed 3.8 min
Epoch [8/20] LR: 7.30e-04 | Train Circle Loss: 0.002904 | Val PixelCNN Circle PSNR: 25.61 dB | Val PixelCNN Circle SSIM: 0.9782 | Val ACNNP Triangle PSNR: 33.54 dB | Train Batches: 1184 | Val Batches: 64 | Epoch Time: 4.2 min | Best Circle: 25.97 dB @ epoch 
7
  train epoch 9/20 batch 50/1184 | loss 0.002893 | elapsed 0.2 min
  train epoch 9/20 batch 100/1184 | loss 0.002901 | elapsed 0.3 min
  train epoch 9/20 batch 150/1184 | loss 0.002959 | elapsed 0.5 min
  train epoch 9/20 batch 200/1184 | loss 0.002911 | elapsed 0.7 min
  train epoch 9/20 batch 250/1184 | loss 0.002906 | elapsed 0.8 min
  train epoch 9/20 batch 300/1184 | loss 0.002899 | elapsed 1.0 min
  train epoch 9/20 batch 350/1184 | loss 0.002913 | elapsed 1.2 min
  train epoch 9/20 batch 400/1184 | loss 0.002901 | elapsed 1.3 min
  train epoch 9/20 batch 450/1184 | loss 0.002907 | elapsed 1.5 min
  train epoch 9/20 batch 500/1184 | loss 0.002908 | elapsed 1.7 min
  train epoch 9/20 batch 550/1184 | loss 0.002912 | elapsed 1.8 min
  train epoch 9/20 batch 600/1184 | loss 0.002902 | elapsed 2.0 min
  train epoch 9/20 batch 650/1184 | loss 0.002899 | elapsed 2.2 min
  train epoch 9/20 batch 700/1184 | loss 0.002908 | elapsed 2.3 min
  train epoch 9/20 batch 750/1184 | loss 0.002897 | elapsed 2.5 min
  train epoch 9/20 batch 800/1184 | loss 0.002887 | elapsed 2.7 min
  train epoch 9/20 batch 850/1184 | loss 0.002894 | elapsed 2.8 min
  train epoch 9/20 batch 900/1184 | loss 0.002904 | elapsed 3.0 min
  train epoch 9/20 batch 950/1184 | loss 0.002895 | elapsed 3.2 min
  train epoch 9/20 batch 1000/1184 | loss 0.002892 | elapsed 3.3 min
  train epoch 9/20 batch 1050/1184 | loss 0.002891 | elapsed 3.5 min
  train epoch 9/20 batch 1100/1184 | loss 0.002891 | elapsed 3.7 min
  train epoch 9/20 batch 1150/1184 | loss 0.002890 | elapsed 3.8 min
Epoch [9/20] LR: 6.58e-04 | Train Circle Loss: 0.002893 | Val PixelCNN Circle PSNR: 26.02 dB | Val PixelCNN Circle SSIM: 0.9788 | Val ACNNP Triangle PSNR: 33.54 dB | Train Batches: 1184 | Val Batches: 64 | Epoch Time: 4.2 min | Best Circle: 26.02 dB @ epoch 
9 | saved best
  train epoch 10/20 batch 50/1184 | loss 0.002834 | elapsed 0.2 min
  train epoch 10/20 batch 100/1184 | loss 0.002945 | elapsed 0.3 min
  train epoch 10/20 batch 150/1184 | loss 0.002937 | elapsed 0.5 min
  train epoch 10/20 batch 200/1184 | loss 0.002936 | elapsed 0.7 min
  train epoch 10/20 batch 250/1184 | loss 0.002924 | elapsed 0.8 min
  train epoch 10/20 batch 300/1184 | loss 0.002935 | elapsed 1.0 min
  train epoch 10/20 batch 350/1184 | loss 0.002920 | elapsed 1.2 min
  train epoch 10/20 batch 400/1184 | loss 0.002915 | elapsed 1.3 min
  train epoch 10/20 batch 450/1184 | loss 0.002902 | elapsed 1.5 min
  train epoch 10/20 batch 500/1184 | loss 0.002889 | elapsed 1.7 min
  train epoch 10/20 batch 550/1184 | loss 0.002873 | elapsed 1.8 min
  train epoch 10/20 batch 600/1184 | loss 0.002876 | elapsed 2.0 min
  train epoch 10/20 batch 650/1184 | loss 0.002881 | elapsed 2.2 min
  train epoch 10/20 batch 700/1184 | loss 0.002878 | elapsed 2.3 min
  train epoch 10/20 batch 750/1184 | loss 0.002881 | elapsed 2.5 min
  train epoch 10/20 batch 800/1184 | loss 0.002887 | elapsed 2.7 min
  train epoch 10/20 batch 850/1184 | loss 0.002891 | elapsed 2.8 min
  train epoch 10/20 batch 900/1184 | loss 0.002892 | elapsed 3.0 min
  train epoch 10/20 batch 950/1184 | loss 0.002888 | elapsed 3.2 min
  train epoch 10/20 batch 1000/1184 | loss 0.002887 | elapsed 3.3 min
  train epoch 10/20 batch 1050/1184 | loss 0.002884 | elapsed 3.5 min
  train epoch 10/20 batch 1100/1184 | loss 0.002879 | elapsed 3.7 min
  train epoch 10/20 batch 1150/1184 | loss 0.002878 | elapsed 3.8 min
Epoch [10/20] LR: 5.82e-04 | Train Circle Loss: 0.002877 | Val PixelCNN Circle PSNR: 26.04 dB | Val PixelCNN Circle SSIM: 0.9789 
| Val ACNNP Triangle PSNR: 33.54 dB | Train Batches: 1184 | Val Batches: 64 | Epoch Time: 4.2 min | Best Circle: 26.04 dB @ epoch 10 | saved best
  train epoch 11/20 batch 50/1184 | loss 0.002896 | elapsed 0.2 min
  train epoch 11/20 batch 100/1184 | loss 0.002855 | elapsed 0.3 min
  train epoch 11/20 batch 150/1184 | loss 0.002840 | elapsed 0.5 min
  train epoch 11/20 batch 200/1184 | loss 0.002814 | elapsed 0.7 min
  train epoch 11/20 batch 250/1184 | loss 0.002837 | elapsed 0.8 min
  train epoch 11/20 batch 300/1184 | loss 0.002819 | elapsed 1.0 min
  train epoch 11/20 batch 350/1184 | loss 0.002841 | elapsed 1.2 min
  train epoch 11/20 batch 400/1184 | loss 0.002859 | elapsed 1.3 min
  train epoch 11/20 batch 450/1184 | loss 0.002864 | elapsed 1.5 min
  train epoch 11/20 batch 500/1184 | loss 0.002860 | elapsed 1.7 min
  train epoch 11/20 batch 550/1184 | loss 0.002867 | elapsed 1.8 min
  train epoch 11/20 batch 600/1184 | loss 0.002847 | elapsed 2.0 min
  train epoch 11/20 batch 650/1184 | loss 0.002841 | elapsed 2.2 min
  train epoch 11/20 batch 700/1184 | loss 0.002845 | elapsed 2.3 min
  train epoch 11/20 batch 750/1184 | loss 0.002839 | elapsed 2.5 min
  train epoch 11/20 batch 800/1184 | loss 0.002850 | elapsed 2.7 min
  train epoch 11/20 batch 850/1184 | loss 0.002865 | elapsed 2.8 min
  train epoch 11/20 batch 900/1184 | loss 0.002865 | elapsed 3.0 min
  train epoch 11/20 batch 950/1184 | loss 0.002870 | elapsed 3.2 min
  train epoch 11/20 batch 1000/1184 | loss 0.002871 | elapsed 3.3 min
  train epoch 11/20 batch 1050/1184 | loss 0.002869 | elapsed 3.5 min
  train epoch 11/20 batch 1100/1184 | loss 0.002873 | elapsed 3.7 min
  train epoch 11/20 batch 1150/1184 | loss 0.002874 | elapsed 3.8 min
Epoch [11/20] LR: 5.05e-04 | Train Circle Loss: 0.002875 | Val PixelCNN Circle PSNR: 26.03 dB | Val PixelCNN Circle SSIM: 0.9789 
| Val ACNNP Triangle PSNR: 33.54 dB | Train Batches: 1184 | Val Batches: 64 | Epoch Time: 4.2 min | Best Circle: 26.04 dB @ epoch 10
  train epoch 12/20 batch 50/1184 | loss 0.002906 | elapsed 0.2 min
  train epoch 12/20 batch 100/1184 | loss 0.002896 | elapsed 0.3 min
  train epoch 12/20 batch 150/1184 | loss 0.002882 | elapsed 0.5 min
  train epoch 12/20 batch 200/1184 | loss 0.002889 | elapsed 0.7 min
  train epoch 12/20 batch 250/1184 | loss 0.002893 | elapsed 0.8 min
  train epoch 12/20 batch 300/1184 | loss 0.002886 | elapsed 1.0 min
  train epoch 12/20 batch 350/1184 | loss 0.002887 | elapsed 1.2 min
  train epoch 12/20 batch 400/1184 | loss 0.002899 | elapsed 1.3 min
  train epoch 12/20 batch 450/1184 | loss 0.002891 | elapsed 1.5 min
  train epoch 12/20 batch 500/1184 | loss 0.002895 | elapsed 1.7 min
  train epoch 12/20 batch 550/1184 | loss 0.002895 | elapsed 1.8 min
  train epoch 12/20 batch 600/1184 | loss 0.002900 | elapsed 2.0 min
  train epoch 12/20 batch 650/1184 | loss 0.002888 | elapsed 2.2 min
  train epoch 12/20 batch 700/1184 | loss 0.002885 | elapsed 2.3 min
  train epoch 12/20 batch 750/1184 | loss 0.002881 | elapsed 2.5 min
  train epoch 12/20 batch 800/1184 | loss 0.002872 | elapsed 2.7 min
  train epoch 12/20 batch 850/1184 | loss 0.002871 | elapsed 2.8 min
  train epoch 12/20 batch 900/1184 | loss 0.002879 | elapsed 3.0 min
  train epoch 12/20 batch 950/1184 | loss 0.002880 | elapsed 3.2 min
  train epoch 12/20 batch 1000/1184 | loss 0.002880 | elapsed 3.3 min
  train epoch 12/20 batch 1050/1184 | loss 0.002885 | elapsed 3.5 min
  train epoch 12/20 batch 1100/1184 | loss 0.002880 | elapsed 3.7 min
  train epoch 12/20 batch 1150/1184 | loss 0.002875 | elapsed 3.8 min
Epoch [12/20] LR: 4.28e-04 | Train Circle Loss: 0.002868 | Val PixelCNN Circle PSNR: 25.81 dB | Val PixelCNN Circle SSIM: 0.9782 
| Val ACNNP Triangle PSNR: 33.54 dB | Train Batches: 1184 | Val Batches: 64 | Epoch Time: 4.2 min | Best Circle: 26.04 dB @ epoch 10
  train epoch 13/20 batch 50/1184 | loss 0.002976 | elapsed 0.2 min
  train epoch 13/20 batch 100/1184 | loss 0.002922 | elapsed 0.3 min
